Phantom ID,Phantom Power,SART LOS Power (beta=0),SART LOS corr,iter,SART Volume Power (beta=0),SART Volume corr,iter,C-SART LOS Power  (beta=1000),C-SART LOS corr,iter,C-SART Volume Power  (beta=1000),C-SART Volume corr,iter,C-SART LOS Power  (beta=80),C-SART LOS corr,iter,C-SART Volume Power  (beta=80),C-SART Volume corr,iter
46,5.339,6.899,0.737,150,5.711,0.941,76,6.337,0.881,150,5.747,0.942,48,5.713,0.975,150,5.54,0.979,150
47,5.225,6.583,0.77,150,5.659,0.932,22,6.092,0.897,150,5.456,0.963,150,5.547,0.974,150,5.693,0.934,13
48,5.952,5.779,0.457,20,5.93,0.77,102,5.789,0.489,14,5.931,0.791,91,5.93,0.88,150,5.92,0.825,25
49,6.071,5.824,0.671,50,6.013,0.912,24,5.941,0.843,150,6.011,0.914,22,6.028,0.954,150,6.046,0.967,150
50,5.776,5.943,0.746,150,5.781,0.914,39,5.889,0.881,150,5.781,0.919,39,5.808,0.97,150,5.808,0.977,150
51,5.955,5.781,0.446,20,5.934,0.745,103,5.789,0.472,12,5.935,0.765,88,5.936,0.852,150,5.913,0.781,11
52,15.18,14.69,0.798,150,14.96,0.944,150,14.87,0.904,150,14.93,0.949,85,15.03,0.968,150,15.09,0.977,150
53,15.17,14.49,0.794,150,14.89,0.932,150,14.73,0.894,150,14.93,0.948,150,14.95,0.959,150,15.01,0.967,150
54,15.08,14.2,0.735,150,14.74,0.878,150,14.5,0.837,150,14.77,0.901,150,14.72,0.911,150,14.79,0.93,150
55,14.62,13.99,0.616,87,14.36,0.76,106,14.22,0.737,150,14.35,0.78,85,14.29,0.826,150,14.27,0.843,150
56,13.67,13.46,0.479,41,13.65,0.691,150,13.5,0.534,28,13.61,0.737,150,13.56,0.793,113,13.47,0.818,150
57,15.1,14.22,0.74,150,14.74,0.86,150,14.51,0.837,150,14.77,0.883,150,14.72,0.904,150,14.8,0.918,150
58,13.92,13.7,0.46,34,13.92,0.652,150,13.74,0.506,25,13.88,0.691,150,13.87,0.695,29,13.74,0.771,150
59,15.07,14.15,0.741,150,14.68,0.875,150,14.45,0.842,150,14.7,0.895,130,14.69,0.917,150,14.76,0.937,150
60,13.56,13.26,0.522,31,13.48,0.741,150,13.41,0.707,150,13.45,0.776,150,13.4,0.839,150,13.35,0.86,150
61,15.07,14.23,0.743,150,14.81,0.901,150,14.54,0.847,150,14.84,0.921,141,14.77,0.926,150,14.85,0.945,150
62,13.64,13.45,0.605,47,13.6,0.779,150,13.49,0.658,33,13.56,0.818,142,13.52,0.871,150,13.45,0.884,150
63,15.11,14.3,0.74,150,14.82,0.885,150,14.6,0.846,150,14.84,0.907,150,14.73,0.899,68,14.83,0.936,150
64,13.87,13.71,0.502,40,13.95,0.71,86,13.76,0.562,32,13.92,0.739,86,13.8,0.817,150,13.81,0.8,47
65,15.04,14.17,0.726,150,14.74,0.893,150,14.48,0.831,150,14.77,0.915,150,14.72,0.919,150,14.8,0.944,150
66,13.4,13.19,0.594,40,13.35,0.788,105,13.22,0.642,27,13.33,0.814,82,13.29,0.874,104,13.21,0.896,150
67,14.39,13.87,0.753,150,14.12,0.904,150,14.06,0.87,150,14.13,0.918,104,14.21,0.949,150,14.25,0.959,150
68,14.14,13.77,0.655,90,13.99,0.797,128,13.89,0.755,93,13.98,0.822,101,13.94,0.864,85,13.92,0.837,21
