# id, point_a.x, point_a.y, point_b.x, point_b.y, point_c.x, point_c.y, point_d.x, point_d.y
61,1.5643,-1.0969,1.5643,-1.0867,1.5744,-1.0867,1.5744,-1.0969
62,1.5744,-1.0969,1.5744,-1.0867,1.5845,-1.0867,1.5845,-1.0969
63,1.5845,-1.0969,1.5845,-1.0867,1.5946,-1.0867,1.5946,-1.0969
64,1.5946,-1.0969,1.5946,-1.0867,1.6047,-1.0867,1.6047,-1.0969
65,1.6047,-1.0969,1.6047,-1.0867,1.6147,-1.0867,1.6147,-1.0969
66,1.6147,-1.0969,1.6147,-1.0867,1.6248,-1.0867,1.6248,-1.0969
67,1.2419,-1.0867,1.2419,-1.0764,1.2519,-1.0764,1.2519,-1.0867
68,1.2519,-1.0867,1.2519,-1.0764,1.262,-1.0764,1.262,-1.0867
69,1.262,-1.0867,1.262,-1.0764,1.2721,-1.0764,1.2721,-1.0867
70,1.2721,-1.0867,1.2721,-1.0764,1.2822,-1.0764,1.2822,-1.0867
71,1.2822,-1.0867,1.2822,-1.0764,1.2922,-1.0764,1.2922,-1.0867
72,1.4938,-1.0867,1.4938,-1.0764,1.5039,-1.0764,1.5039,-1.0867
73,1.5039,-1.0867,1.5039,-1.0764,1.514,-1.0764,1.514,-1.0867
74,1.514,-1.0867,1.514,-1.0764,1.524,-1.0764,1.524,-1.0867
75,1.524,-1.0867,1.524,-1.0764,1.5341,-1.0764,1.5341,-1.0867
76,1.5341,-1.0867,1.5341,-1.0764,1.5442,-1.0764,1.5442,-1.0867
77,1.5442,-1.0867,1.5442,-1.0764,1.5543,-1.0764,1.5543,-1.0867
78,1.5543,-1.0867,1.5543,-1.0764,1.5643,-1.0764,1.5643,-1.0867
79,1.5643,-1.0867,1.5643,-1.0764,1.5744,-1.0764,1.5744,-1.0867
80,1.5744,-1.0867,1.5744,-1.0764,1.5845,-1.0764,1.5845,-1.0867
81,1.5845,-1.0867,1.5845,-1.0764,1.5946,-1.0764,1.5946,-1.0867
82,1.5946,-1.0867,1.5946,-1.0764,1.6047,-1.0764,1.6047,-1.0867
83,1.6047,-1.0867,1.6047,-1.0764,1.6147,-1.0764,1.6147,-1.0867
84,1.6147,-1.0867,1.6147,-1.0764,1.6248,-1.0764,1.6248,-1.0867
85,1.2419,-1.0764,1.2419,-1.0662,1.2519,-1.0662,1.2519,-1.0764
86,1.2519,-1.0764,1.2519,-1.0662,1.262,-1.0662,1.262,-1.0764
87,1.262,-1.0764,1.262,-1.0662,1.2721,-1.0662,1.2721,-1.0764
88,1.2721,-1.0764,1.2721,-1.0662,1.2822,-1.0662,1.2822,-1.0764
89,1.2822,-1.0764,1.2822,-1.0662,1.2922,-1.0662,1.2922,-1.0764
90,1.2922,-1.0764,1.2922,-1.0662,1.3023,-1.0662,1.3023,-1.0764
91,1.3023,-1.0764,1.3023,-1.0662,1.3124,-1.0662,1.3124,-1.0764
92,1.4837,-1.0764,1.4837,-1.0662,1.4938,-1.0662,1.4938,-1.0764
93,1.4938,-1.0764,1.4938,-1.0662,1.5039,-1.0662,1.5039,-1.0764
94,1.5039,-1.0764,1.5039,-1.0662,1.514,-1.0662,1.514,-1.0764
95,1.514,-1.0764,1.514,-1.0662,1.524,-1.0662,1.524,-1.0764
96,1.524,-1.0764,1.524,-1.0662,1.5341,-1.0662,1.5341,-1.0764
97,1.5341,-1.0764,1.5341,-1.0662,1.5442,-1.0662,1.5442,-1.0764
98,1.5442,-1.0764,1.5442,-1.0662,1.5543,-1.0662,1.5543,-1.0764
99,1.5543,-1.0764,1.5543,-1.0662,1.5643,-1.0662,1.5643,-1.0764
100,1.5643,-1.0764,1.5643,-1.0662,1.5744,-1.0662,1.5744,-1.0764
101,1.5744,-1.0764,1.5744,-1.0662,1.5845,-1.0662,1.5845,-1.0764
102,1.5845,-1.0764,1.5845,-1.0662,1.5946,-1.0662,1.5946,-1.0764
103,1.5946,-1.0764,1.5946,-1.0662,1.6047,-1.0662,1.6047,-1.0764
104,1.6047,-1.0764,1.6047,-1.0662,1.6147,-1.0662,1.6147,-1.0764
105,1.6147,-1.0764,1.6147,-1.0662,1.6248,-1.0662,1.6248,-1.0764
106,1.6248,-1.0764,1.6248,-1.0662,1.6349,-1.0662,1.6349,-1.0764
107,1.2519,-1.0662,1.2519,-1.056,1.262,-1.056,1.262,-1.0662
108,1.262,-1.0662,1.262,-1.056,1.2721,-1.056,1.2721,-1.0662
109,1.2721,-1.0662,1.2721,-1.056,1.2822,-1.056,1.2822,-1.0662
110,1.2822,-1.0662,1.2822,-1.056,1.2922,-1.056,1.2922,-1.0662
111,1.2922,-1.0662,1.2922,-1.056,1.3023,-1.056,1.3023,-1.0662
112,1.3023,-1.0662,1.3023,-1.056,1.3124,-1.056,1.3124,-1.0662
113,1.3124,-1.0662,1.3124,-1.056,1.3225,-1.056,1.3225,-1.0662
114,1.3225,-1.0662,1.3225,-1.056,1.3326,-1.056,1.3326,-1.0662
115,1.4636,-1.0662,1.4636,-1.056,1.4736,-1.056,1.4736,-1.0662
116,1.4736,-1.0662,1.4736,-1.056,1.4837,-1.056,1.4837,-1.0662
117,1.4837,-1.0662,1.4837,-1.056,1.4938,-1.056,1.4938,-1.0662
118,1.4938,-1.0662,1.4938,-1.056,1.5039,-1.056,1.5039,-1.0662
119,1.5039,-1.0662,1.5039,-1.056,1.514,-1.056,1.514,-1.0662
120,1.514,-1.0662,1.514,-1.056,1.524,-1.056,1.524,-1.0662
121,1.524,-1.0662,1.524,-1.056,1.5341,-1.056,1.5341,-1.0662
122,1.5341,-1.0662,1.5341,-1.056,1.5442,-1.056,1.5442,-1.0662
123,1.5442,-1.0662,1.5442,-1.056,1.5543,-1.056,1.5543,-1.0662
